#Data tag : 24v2 , Norm tag: composite
# brilcalc lumi --normtag /cvmfs/cms-bril.cern.ch/cms-lumi-pog/Normtags/normtag_PHYSICS.json -u /fb --begin 366442 --end 370790  > lumi_2023.txt
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 368229:8853 | 05/31/23 00:14:32 | 531  | 531  | 0.099728148    | 0.094748023   |
| 368318:8858 | 06/01/23 13:07:09 | 290  | 285  | 0.070043109    | 0.064602088   |
| 368320:8858 | 06/01/23 14:59:31 | 289  | 286  | 0.083287393    | 0.078999471   |
| 368321:8858 | 06/01/23 16:51:29 | 347  | 344  | 0.085204415    | 0.081081626   |
| 368331:8860 | 06/01/23 22:03:54 | 44   | 40   | 0.005758303    | 0.004360387   |
| 368332:8860 | 06/01/23 22:20:52 | 20   | 17   | 0.003518384    | 0.002423461   |
| 368333:8860 | 06/01/23 22:28:24 | 28   | 25   | 0.005612571    | 0.004123254   |
| 368334:8860 | 06/01/23 22:39:13 | 22   | 7    | 0.004757181    | 0.000866760   |
| 368336:8860 | 06/01/23 22:47:25 | 222  | 214  | 0.072976211    | 0.058224599   |
| 368337:8860 | 06/02/23 00:13:36 | 24   | 17   | 0.008514768    | 0.000000741   |
| 368338:8860 | 06/02/23 00:22:40 | 18   | 9    | 0.006455014    | 0.000000214   |
| 368339:8860 | 06/02/23 00:29:19 | 14   | 5    | 0.004948628    | 0.000058226   |
| 368340:8860 | 06/02/23 00:34:41 | 20   | 16   | 0.006976036    | 0.000080245   |
| 368341:8860 | 06/02/23 00:42:23 | 39   | 33   | 0.013351707    | 0.010460419   |
| 368343:8860 | 06/02/23 00:57:27 | 1140 | 1140 | 0.286969435    | 0.274250994   |
| 368382:8863 | 06/02/23 16:02:12 | 774  | 768  | 0.228317416    | 0.214677168   |
| 368383:8863 | 06/02/23 21:02:55 | 33   | 26   | 0.009292678    | 0.006572423   |
| 368384:8863 | 06/02/23 21:15:41 | 58   | 56   | 0.012204605    | 0.011523583   |
| 368388:8865 | 06/03/23 00:21:23 | 1440 | 1436 | 0.384244436    | 0.365168009   |
| 368389:8865 | 06/03/23 09:40:44 | 203  | 203  | 0.037084783    | 0.035648020   |
| 368400:8866 | 06/03/23 12:49:45 | 241  | 241  | 0.069603590    | 0.065540736   |
| 368410:8870 | 06/03/23 23:48:27 | 1471 | 1467 | 0.451639333    | 0.428202081   |
| 368411:8870 | 06/04/23 09:19:54 | 14   | 7    | 0.003137067    | 0.001360890   |
| 368412:8870 | 06/04/23 09:25:10 | 104  | 104  | 0.020537015    | 0.019481744   |
| 368423:8872 | 06/04/23 14:13:56 | 476  | 476  | 0.202674536    | 0.193040064   |
| 368429:8873 | 06/04/23 19:23:36 | 37   | 0    | 0.006995031    | 0             |
| 368437:8873 | 06/04/23 19:37:45 | 37   | 6    | 0.010690006    | 0.001333868   |
| 368440:8873 | 06/04/23 19:51:48 | 358  | 352  | 0.165482873    | 0.145608488   |
| 368442:8873 | 06/04/23 22:10:52 | 5    | 3    | 0.002424865    | 0.000005894   |
| 368443:8873 | 06/04/23 22:12:48 | 170  | 73   | 0.080083125    | 0.033864381   |
| 368451:8873 | 06/04/23 23:18:33 | 154  | 145  | 0.066383631    | 0.057373215   |
| 368452:8873 | 06/05/23 00:18:16 | 12   | 3    | 0.004872699    | 0.000165657   |
