# brilcalc lumi --normtag /cvmfs/cms-bril.cern.ch/cms-lumi-pog/Normtags/normtag_PHYSICS.json -u /fb --begin 378981 --end 386951 -b "STABLE BEAMS" > lumi_2024.txt
#Data tag : 24v2 , Norm tag: composite
+--------------+-------------------+------+------+----------------+---------------+
| run:fill     | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 380306:9585  | 05/02/24 19:53:46 | 257  | 248  | 0.103808428    | 0.092159784   |
| 380307:9585  | 05/02/24 21:33:27 | 29   | 21   | 0.013341173    | 0.008261259   |
| 380308:9585  | 05/02/24 21:44:38 | 44   | 35   | 0.020291324    | 0.013541996   |
| 380309:9585  | 05/02/24 22:01:23 | 355  | 351  | 0.163266460    | 0.150219535   |
| 380310:9585  | 05/03/24 00:19:19 | 1161 | 1161 | 0.391347160    | 0.377848551   |
| 380346:9593  | 05/03/24 16:31:11 | 593  | 582  | 0.254492475    | 0.228381008   |
| 380348:9593  | 05/03/24 20:21:15 | 355  | 346  | 0.142398747    | 0.130316473   |
| 380349:9593  | 05/03/24 22:39:04 | 713  | 697  | 0.212363391    | 0.205834075   |
| 380360:9594  | 05/04/24 06:55:30 | 1950 | 1950 | 0.689759552    | 0.663530597   |
| 380377:9602  | 05/04/24 23:49:49 | 433  | 423  | 0.180814239    | 0.170971407   |
| 380384:9603  | 05/05/24 06:57:01 | 765  | 761  | 0.335552555    | 0.312695563   |
| 380385:9603  | 05/05/24 11:54:10 | 1255 | 1255 | 0.397653284    | 0.383667477   |
| 380399:9604  | 05/05/24 23:16:31 | 526  | 521  | 0.223261208    | 0.209747630   |
| 380400:9604  | 05/06/24 02:40:48 | 79   | 71   | 0.036392941    | 0.030613007   |
| 380401:9604  | 05/06/24 03:11:16 | 18   | 10   | 0.008271918    | 0.003429445   |
| 380403:9604  | 05/06/24 03:18:17 | 279  | 279  | 0.114488344    | 0.108595156   |
| 380444:9605  | 05/06/24 15:20:27 | 342  | 328  | 0.152707751    | 0.135564456   |
| 380446:9605  | 05/06/24 17:33:05 | 1048 | 1038 | 0.419127051    | 0.395789560   |
| 380447:9605  | 05/07/24 00:20:05 | 818  | 818  | 0.210717771    | 0.205624539   |
| 380466:9606  | 05/07/24 09:20:29 | 582  | 542  | 0.254534163    | 0.210143039   |
| 380470:9606  | 05/07/24 13:06:34 | 1643 | 1643 | 0.527059080    | 0.510925841   |
| 380481:9608  | 05/08/24 05:37:35 | 871  | 871  | 0.378084162    | 0.356703101   |
| 380513:9609  | 05/08/24 20:35:11 | 1168 | 1160 | 0.493943342    | 0.466207744   |
| 380514:9609  | 05/09/24 04:08:53 | 9    | 1    | 0.003141215    | 0.000000050   |
| 380515:9609  | 05/09/24 04:12:01 | 11   | 4    | 0.003830944    | 0.000007907   |
| 380516:9609  | 05/09/24 04:16:17 | 13   | 4    | 0.004491194    | 0.000452450   |
| 380517:9609  | 05/09/24 04:20:58 | 54   | 54   | 0.013507264    | 0.012795968   |
| 380531:9610  | 05/09/24 07:01:37 | 1042 | 1036 | 0.447818656    | 0.415553023   |
